county,email,url,phone
Adams,adams@ohiosecretaryofstate.gov,https://www.voterfind.com/adamsoh/avreport.aspx,
Allen,allen@ohiosecretaryofstate.gov,https://www.voterfind.com/allenoh/avreport.aspx,
Ashland,ashland@ohiosecretaryofstate.gov,N/a,(419) 282-4224
Ashtabula,ashtabul@ohiosecretaryofstate.gov,https://www.voterfind.com/ashtabulaoh/avreport.aspx,
Athens,athens@ohiosecretaryofstate.gov,https://www.voterfind.com/athensoh/vtrreport.aspx,Not working. Call: 740-592-3201
Auglaize,auglaize@ohiosecretaryofstate.gov,https://www.voterfind.com/auglaizeoh/avreport.aspx,Call: (419) 739-6720
Belmont,belmont@ohiosecretaryofstate.gov,https://www.voterfind.com/belmontoh/avreport.aspx,
Brown,brown@ohiosecretaryofstate.gov,https://www.voterfind.com/brownoh/avreport.aspx,
Butler,butler@ohiosecretaryofstate.gov,http://www.butlercountyelections.org/current_election_report/election_resources/absentee_labels.php,No return column: call BOE (513) 887-3700
Carroll,carroll@ohiosecretaryofstate.gov,https://www.voterfind.com/carrolloh/avreport.aspx,
Champaign,champaig@ohiosecretaryofstate.gov,https://www.voterfind.com/champaignoh/avreport.aspx,Doesn't have 2018 yet. Call 937-484-1575
Clark,elections@clarkcountyohio.gov,https://www.voterfind.com/clarkoh/avreport.aspx,
Clermont,elections@clermontcountyohio.gov,n/a,Call 513.732.7275
Clinton,vote4@cinci.rr.com,https://www.voterfind.com/clintonoh/avreport.aspx,
Columbiana,info@columbianaboe.org,https://www.voterfind.com/columbianaoh/avreport.aspx,
Coshocton,coshocto@ohiosecretaryofstate.gov,https://www.voterfind.com/coshoctonoh/avreport.aspx,
Crawford,crawford@ohiosecretaryofstate.gov,N/a,2018 N/A Call: 419-562-8721
Cuyahoga,electioninfo@cuyahogacounty.us,https://boe.cuyahogacounty.us/en-US/absentee-voter-labels.aspx,
Darke,darke@ohiosecretaryofstate.gov,https://www.voterfind.com/darkeoh/avreport.aspx,
Defiance,defiance@ohiosecretaryofstate.gov,https://www.voterfind.com/defianceoh/avreport.aspx,
Delaware,boe@co.delaware.oh.us,https://www.voterfind.com/delawareoh/avreport.aspx,
Erie,erie@ohiosecretaryofstate.gov,https://www.voterfind.com/erieoh/avreport.aspx,
Fairfield,fairfiel@ohiosecretaryofstate.gov,http://www.fairfieldelections.com/Voter/Export/,Unaffiliated columns are messed up
Fayette,fayette@ohiosecretaryofstate.gov,https://www.voterfind.com/fayetteoh/avreport.aspx,
Franklin,boe@franklincountyohio.gov,http://vote.franklincountyohio.gov/assets/index.cfm,
Fulton,fulton@ohiosecretaryofstate.gov,https://www.voterfind.com/fultonoh/avreport.aspx,
Gallia,gallia@ohiosecretaryofstate.gov,https://www.voterfind.com/galliaoh/avreport.aspx,
Geauga,geauga@ohiosecretaryofstate.gov,https://www.voterfind.com/Geaugaoh/avreport.aspx,
Greene,greene@ohiosecretaryofstate.gov,https://www.voterfind.com/greeneoh/avreport.aspx,
Guernsey,guernsey@ohiosecretaryofstate.gov,https://www.voterfind.com/guernseyoh/avreport.aspx,
Hamilton,hamilton@ohiosecretaryofstate.gov,http://boe.hamilton-co.org/data/absentee-voters-list.aspx,
Hancock,bdelections@co.hancock.oh.us,http://hancockboardofelections.com/?page_id=266,Doesn't have 2018. Call: 419.422.3245
Hardin,hardin@ohiosecretaryofstate.gov,https://www.voterfind.com/hardinoh/avreport.aspx,
Harrison,harrison@ohiosecretaryofstate.gov,https://www.voterfind.com/harrisonoh/vtrreport.aspx,File blank (740) 942-8866
Henry,boardofelections@henrycountyohio.com,http://www.henrycoelections.com/Temp/DailyAbsenteeReports/,URL Broken - call (419) 592-7956
Highland,highland@ohiosecretaryofstate.gov,https://www.voterfind.com/highlandoh/avreport.aspx,File blank. Call (937) 393-9961
