county,email,url
Adams,adams@ohiosecretaryofstate.gov,https://www.voterfind.com/adamsoh/avreport.aspx
Allen,allen@ohiosecretaryofstate.gov,https://www.voterfind.com/allenoh/avreport.aspx
Ashland,,
Ashtabula,ashtabul@ohiosecretaryofstate.gov,https://www.voterfind.com/ashtabulaoh/avreport.aspx
Athens,athens@ohiosecretaryofstate.gov,https://www.voterfind.com/athensoh/vtrreport.aspx
Auglaize,auglaize@ohiosecretaryofstate.gov,https://www.voterfind.com/auglaizeoh/avreport.aspx
Belmont,belmont@ohiosecretaryofstate.gov,https://www.voterfind.com/belmontoh/avreport.aspx
Brown,brown@ohiosecretaryofstate.gov,https://www.voterfind.com/brownoh/avreport.aspx
Carroll,carroll@ohiosecretaryofstate.gov,https://www.voterfind.com/carrolloh/avreport.aspx
Champaign,champaig@ohiosecretaryofstate.gov,https://www.voterfind.com/champaignoh/avreport.aspx
Clark,elections@clarkcountyohio.gov,https://www.voterfind.com/clarkoh/avreport.aspx
Clinton,vote4@cinci.rr.com,https://www.voterfind.com/clintonoh/avreport.aspx
Columbiana,info@columbianaboe.org,https://www.voterfind.com/columbianaoh/avreport.aspx
Coshocton,coshocto@ohiosecretaryofstate.gov,https://www.voterfind.com/coshoctonoh/avreport.aspx
Darke,darke@ohiosecretaryofstate.gov,https://www.voterfind.com/darkeoh/avreport.aspx
Defiance,defiance@ohiosecretaryofstate.gov,https://www.voterfind.com/defianceoh/avreport.aspx
Delaware,boe@co.delaware.oh.us,https://www.voterfind.com/delawareoh/avreport.aspx
Erie,erie@ohiosecretaryofstate.gov,https://www.voterfind.com/erieoh/avreport.aspx
Fayette,fayette@ohiosecretaryofstate.gov,https://www.voterfind.com/fayetteoh/avreport.aspx
Fulton,fulton@ohiosecretaryofstate.gov,https://www.voterfind.com/fultonoh/avreport.aspx
Gallia,gallia@ohiosecretaryofstate.gov,https://www.voterfind.com/galliaoh/avreport.aspx
Geauga,geauga@ohiosecretaryofstate.gov,https://www.voterfind.com/Geaugaoh/avreport.aspx
Greene,greene@ohiosecretaryofstate.gov,https://www.voterfind.com/greeneoh/avreport.aspx
Guernsey,guernsey@ohiosecretaryofstate.gov,https://www.voterfind.com/guernseyoh/avreport.aspx
Hardin,hardin@ohiosecretaryofstate.gov,https://www.voterfind.com/hardinoh/avreport.aspx
Harrison,harrison@ohiosecretaryofstate.gov,https://www.voterfind.com/harrisonoh/vtrreport.aspx
Highland,highland@ohiosecretaryofstate.gov,https://www.voterfind.com/highlandoh/avreport.aspx
Hocking,hocking@ohiosecretaryofstate.gov,https://www.voterfind.com/hockingoh/avreport.aspx
Holmes,holmes@ohiosecretaryofstate.gov,https://www.voterfind.com/HOLMESoh/avreport.aspx
Jackson,jackson@ohiosecretaryofstate.gov,https://www.voterfind.com/jacksonoh/avreport.aspx
Jefferson,jefferso@ohiosecretaryofstate.gov,https://www.voterfind.com/jeffersonoh/avreport.aspx
Knox,knox@ohiosecretaryofstate.gov,https://www.voterfind.com/knoxoh/avreport.aspx
Lake,lake@ohiosecretaryofstate.gov,https://www.voterfind.com/lakeoh/avreport.aspx
Lawrence,lawrence@ohiosecretaryofstate.gov,https://www.voterfind.com/lawrenceoh/avreport.aspx
Licking,licking@ohiosecretaryofstate.gov,https://www.voterfind.com/lickingoh/avreport.aspx
Logan,elections@co.logan.oh.us,https://www.voterfind.com/loganoh/avreport.aspx
Lorain,lorain@ohiosecretaryofstate.gov,https://www.voterfind.com/lorainoh/avreport.aspx
Lucas,lucas@ohiosecretaryofstate.gov,https://lookup.boe.ohio.gov/vtrapp/lucas/avreport.aspx
Madison,electionboard@co.madison.oh.us,https://www.voterfind.com/madisonoh/avreport.aspx
Marion,marion@ohiosecretaryofstate.gov,https://www.voterfind.com/marionoh/avreport.aspx
Mahoning,,
