sos_id,AVAPPDATE,AVAPPTYPE,AVRECVDATE,AVSENTDATE,PARTYAFFIL,PHONE
OH0018240700,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018244258,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018223558,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018223590,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018223560,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018217966,8/19/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018218081,8/19/2020,WITHDRAWN,/  /,/  /,DEM,
OH0020866693,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018221525,8/20/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018221526,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018211574,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018231154,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018240183,4/29/2020,WITHDRAWN,/  /,/  /,REP,
OH0018245556,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018213443,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018213425,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018252426,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018239199,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0022261180,8/21/2020,WITHDRAWN,/  /,/  /,---,
OH0022261181,8/21/2020,WITHDRAWN,/  /,/  /,---,
OH0018237433,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018237437,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018214833,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018215108,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0020411397,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018251775,8/14/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018237994,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018222719,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018230669,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018216932,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018217416,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018217469,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018241823,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018241851,8/14/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018238800,8/24/2020,WITHDRAWN,/  /,/  /,REP,
OH0024341970,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018228239,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018228369,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018251732,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018236148,8/18/2020,WITHDRAWN,/  /,/  /,---,
OH0018235343,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0021798519,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018238269,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018234314,8/24/2020,WITHDRAWN,/  /,/  /,---,
